0,UNK
1,the
2,","
3,.
4,of
5,and
6,in
7,to
8,a
9,is
10,as
11,was
12,)
13,(
14,by
15,for
16,that
17,with
18,on
19,'s
20,''
21,from
22,``
23,are
24,it
25,his
26,at
27,which
28,an
29,or
30,be
31,were
32,this
33,he
34,have
35,has
36,not
37,also
38,had
39,its
40,but
41,their
42,other
43,one
44,;
45,been
46,most
47,:
48,city
49,first
50,more
51,such
52,they
53,some
54,many
55,after
56,all
57,can
58,who
59,into
60,these
61,new
62,than
63,there
64,two
65,when
66,during
67,only
68,would
69,used
70,world
71,time
72,however
73,may
74,between
75,over
76,war
77,state
78,years
79,%
80,known
81,while
82,'
83,about
84,government
85,states
86,her
87,people
88,later
89,both
90,no
91,united
92,century
93,became
94,including
95,called
96,made
97,through
98,well
99,under
100,use
101,several
102,being
103,since
104,up
105,often
106,number
107,them
108,part
109,where
110,system
111,early
112,although
113,out
114,area
115,so
116,then
117,three
118,because
119,national
120,large
121,major
122,if
123,population
124,could
125,any
126,music
127,i
128,each
129,before
130,south
131,country
132,work
133,much
134,she
135,north
136,will
137,him
138,until
139,year
140,american
141,against
142,include
143,british
144,high
145,form
146,around
147,found
148,french
149,even
150,second
151,like
152,within
153,life
154,great
155,same
156,name
157,those
158,now
159,very
160,river
161,among
162,power
163,international
164,modern
165,did
166,important
167,east
168,still
169,small
170,began
171,largest
172,political
173,what
174,another
175,due
176,example
177,public
178,general
179,common
180,different
181,army
182,led
183,following
184,own
185,military
186,end
187,period
188,u.s.
189,west
190,group
191,university
192,see
193,home
194,language
195,million
196,though
197,president
198,along
199,german
200,long
201,water
202,four
203,history
204,considered
205,according
206,forces
207,based
208,do
209,house
210,few
211,popular
212,become
213,central
214,areas
215,main
216,western
217,island
218,english
219,region
220,human
221,death
222,film
223,set
224,law
225,countries
226,king
227,members
228,times
229,de
230,without
231,development
232,order
233,¡X
234,school
235,usually
236,day
237,john
238,various
239,local
240,church
241,battle
242,using
243,point
244,$
245,way
246,union
247,¡¦
248,european
249,late
250,economic
251,soviet
252,last
253,theory
254,place
255,less
256,capital
257,said
258,europe
259,ii
260,took
261,control
262,located
263,land
264,party
265,cities
266,thus
267,given
268,family
269,force
270,back
271,air
272,developed
273,age
274,similar
275,species
276,make
277,support
278,near
279,down
280,1
281,old
282,further
283,others
284,company
285,left
286,groups
287,five
288,especially
289,generally
290,2006
291,published
292,series
293,art
294,africa
295,result
296,book
297,held
298,sometimes
299,social
300,named
301,just
302,center
303,s
304,park
305,african
306,court
307,established
308,throughout
309,-
310,today
311,almost
312,term
313,sea
314,france
315,northern
316,china
317,game
318,us
319,roman
320,should
321,2007
322,rather
323,role
324,trade
325,production
326,every
327,addition
328,came
329,germany
330,per
331,seen
332,single
333,does
334,education
335,written
336,men
337,built
338,third
339,continued
340,wrote
341,line
342,chinese
343,included
344,final
345,march
346,republic
347,islands
348,southern
349,rights
350,lake
351,having
352,service
353,open
354,works
355,kingdom
356,best
357,we
358,off
359,free
360,light
361,significant
362,former
363,culture
364,original
365,once
366,little
367,parts
368,society
369,either
370,produced
371,must
372,america
373,far
374,possible
375,play
376,total
377,research
378,eastern
379,january
380,2005
381,body
382,october
383,process
384,movement
385,natural
386,word
387,children
388,right
389,never
390,town
391,official
392,empire
393,aircraft
394,september
395,league
396,take
397,upon
398,next
399,despite
400,act
401,field
402,current
403,study
404,black
405,systems
406,case
407,council
408,again
409,thought
410,won
411,2
412,god
413,least
414,greek
415,position
416,william
417,earth
418,languages
419,recent
420,how
421,created
422,august
423,forms
424,december
425,himself
426,itself
427,across
428,civil
429,died
430,making
431,november
432,range
433,july
434,played
435,traditional
436,side
437,terms
438,man
439,religious
440,russian
441,latin
442,ancient
443,formed
444,level
445,women
446,10
447,territory
448,particularly
449,team
450,economy
451,lost
452,influence
453,schools
454,days
455,]
456,means
457,low
458,energy
459,foreign
460,building
461,eventually
462,[
463,father
464,spanish
465,india
466,information
467,described
468,april
469,living
470,san
471,remained
472,writing
473,together
474,certain
475,centre
476,middle
477,show
478,numbers
479,famous
480,june
481,evidence
482,growth
483,higher
484,style
485,parliament
486,instead
487,six
488,space
489,fact
490,you
491,particular
492,member
493,nations
494,york
495,above
496,young
497,food
498,followed
499,majority
500,airport
501,individual
502,white
503,received
504,community
505,meaning
506,themselves
507,able
508,words
509,complex
510,view
511,troops
512,album
513,change
514,referred
515,independence
516,present
517,cause
518,half
519,average
520,larger
521,district
522,science
523,mass
524,red
525,increased
526,attack
527,february
528,band
529,cultural
530,believed
531,moved
532,japanese
533,rate
534,head
535,our
536,outside
537,private
538,taken
539,whose
540,type
541,top
542,increase
543,leading
544,person
545,nation
546,released
547,street
548,caused
549,england
550,good
551,strong
552,stage
553,lower
554,¡V
555,source
556,short
557,allowed
558,soon
559,record
